CRN,Term,Dept,Num,Name,APR,Units,PreReqs,Description,IS_DS_TU_IN
3802,3 (Spring 2025),MATH,155,MULTIVARIABLE CALCULUS,,6,MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department,"Techniques of integration, vector algebra in the plane and space, matrix algebra, functions of several variables, partial derivatives, double and triple integration, optimization. PREREQUISITES: MATH 140 or suitable AP or IB score and minimum score on ALEKS online diagnostic exam as set by department",N
3345,3 (Spring 2025),MATH,191,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3803,3 (Spring 2025),MATH,200,COMPLEX SEQUENCES AND SERIES,,6,MATH 155,"Complex numbers, sequences, convergence, series, power series, additional topics chosen from analysis, geometry, differential equations, and applied mathematics PREREQUISITES: MATH 155",N
3692,3 (Spring 2025),MATH,223,QUANTITATIVE DECISION-MAKING,,6,Sophomore standing,"Students will learn ways to aid decision-making by applying a scientific approach to decision problems involving quantitative factors: defining the problem, gathering data, formulating a model of the problem, developing computer-based procedures for evaluating solutions, testing and refining the model, analyzing the model’s alternatives, and communicating the results. Many assignments and exams will be completed using Excel, so students will also gain advanced Excel skills.  PREREQUISITES: Sophomore standing",N
3804,3 (Spring 2025),MATH,230,DISCRETE MATHEMATICS,,6,MATH 155,"An introduction to mathematical reasoning and proof in the context of discrete structures relevant to the study of computer science.  Topics include induction, sets, relations and functions, graph theory, combinatorics, and probability. PREREQUISITES: MATH 155",N
3816,3 (Spring 2025),MATH,250,LINEAR ALGEBRA,,6,MATH 200,"The study of vector spaces, linear transformations, matrices, and applications.  Topics include linear independence, dimension, rank-nullity, change of basis, eigenvectors and eigenvalues, determinants, and inner products. PREREQUISITES: MATH 200",N
3805,3 (Spring 2025),MATH,350,ORDINARY DIFFERENTIAL EQUATION,,6,MATH 155,"A study of ordinary differential equations and applications.  Topics include standard techniques for special types of equations, linear and non-linear systems, existence and  uniqueness, and qualitative behavior. PREREQUISITES: MATH 155",N
3346,3 (Spring 2025),MATH,390,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
3347,3 (Spring 2025),MATH,391,DIRECTED STUDY IN MATHEMATICS,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3348,3 (Spring 2025),MATH,395,INTERNSHIP IN MATHEMATICS,APR,Variable,,"The academic component of the internship includes readings related to the substance of the internship, discussions with the faculty supervisor, and a written report appropriate to the discipline. Course grades are based on this academic work.",Y
3349,3 (Spring 2025),MATH,399,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3806,3 (Spring 2025),MATH,505,GROUP THEORY,,6,MATH 230 and MATH 250; or MATH 300 and consent of instructor,"The study of groups, group actions, and important examples of finite and matrix groups. Specific topics will include group homomorphisms, quotient groups, isomorphism theorems, Lagrange's Theorem, the Orbit- Stabilizer Theorem, and the Sylow Theorems. PREREQUISITES: MATH 230 and MATH 250; or MATH 300 and consent of instructor",N
3822,3 (Spring 2025),MATH,560,TOPOLOGY,,6,MATH 230 and 250,"A study of metric and topological spaces, including continuity, compactness, connectedness, product and quotient spaces. Additional topics may include Zorn’s Lemma, separation properties, surfaces, the fundamental group, and fixed point theorems. PREREQUISITES: MATH 230 and 250",N
3350,3 (Spring 2025),MATH,590,TUTORIAL STUDIES IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Advanced work in mathematics on topics not covered in regular offerings. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,Y
3351,3 (Spring 2025),MATH,591,DIRECTED STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Directed study follows a syllabus set primarily by the instructor to meet the needs or interests of an individual student or small group of students.  The main goal of directed study is knowledge or skill acquisition, not research or creative work. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
3352,3 (Spring 2025),MATH,599,INDEPENDENT STUDY IN MATH,,Variable,To register student must complete the Student Initiated Course Form with consultation of supervising instructor.,"Guided independent study of an advanced topic in undergraduate mathematics or supervised work on an undergraduate research project, generally culminating in a final presentation and/or paper. PREREQUISITES: To register student must complete the Student Initiated Course Form with consultation of supervising instructor.",Y
